순번/순위,구분,상품명,ISBN,ISBN13,부가기호,출판사/제작사,저자/아티스트,정가,판매가,할인액,할인율,마일리지,출간일,세일즈포인트
279,국내도서,이방인,8937443848,9.78894E+12,,민음사,"알베르 카뮈 지음, 김화영 옮김","10,000","9,000","1,000",10%,500점,20190902,47789
280,국내도서,딜레마 사전,K382838633,9.79116E+12,3600,윌북,"안젤라 애커만.베카 푸글리시 지음, 오수원 옮김","22,000","19,800","2,200",10%,"1,100점",20220826,17025
281,국내도서,채사장의 지대넓얕 4 : 보이지 않는 손,K132838145,9.7912E+12,,돌핀북,"채사장.마케마케 지음, 정용환 그림","15,000","13,500","1,500",10%,750점,20220820,20592
282,국내도서,내 최고의 하루는 오늘부터 시작된다,K732839011,9.79116E+12,3190,비즈니스북스,"브리애나 위스트 지음, 김영애 옮김","16,500","14,850","1,650",10%,820점,20221014,6509
283,국내도서,영어의 마음을 읽는 법,K452839672,9.79119E+12,3740,생각의힘,김성우 지음,"22,000","19,800","2,200",10%,"1,100점",20220920,6454
284,국내도서,참을 수 없는 존재의 가벼움,8937437562,9.78894E+12,3860,민음사,"밀란 쿤데라 지음, 이재룡 옮김","15,000","13,500","1,500",10%,750점,20180620,83800
285,국내도서,유루캠 13,K792839440,9.79117E+12,,대원씨아이(만화),AFRO 지음,"5,500","4,950",550,10%,270점,20221020,4189
286,국내도서,내가 알던 것보다 사연이 많아! K-요괴 도감,K382838241,9.79119E+12,74690,후즈갓마이테일,이고은 지음,"17,000","15,300","1,700",10%,850점,20220928,4420
287,국내도서,더우면 벗으면 되지,8934988916,9.78893E+12,77830,주니어김영사,"요시타케 신스케 지음, 양지연 옮김","12,500","11,250","1,250",10%,620점,20210217,6318
288,국내도서,그리고 펌킨맨이 나타났다,894912470X,9.78895E+12,74800,비룡소,"유소정 지음, 김상욱 그림","13,000","11,700","1,300",10%,650점,20220901,10171
289,국내도서,아몬드 (반양장),8936456784,9.78894E+12,43810,창비,손원평 지음,"13,000","11,700","1,300",10%,650점,20170331,67278
290,국내도서,진정한 장소,K002837531,9.79119E+12,3800,1984Books,"아니 에르노.미셸 포르트 지음, 신유진 옮김","13,000","11,700","1,300",10%,650점,20220515,4326
291,국내도서,말을 부수는 말,K462839495,9.79116E+12,3300,한겨레출판,이라영 지음,"18,000","16,200","1,800",10%,900점,20220930,8023
292,국내도서,달러구트 꿈 백화점 2 (레인보우 에디션),K512838938,9.79117E+12,3810,팩토리나인,이미예 지음,"13,800","12,420","1,380",10%,690점,20210727,82944
293,국내도서,에그박사의 채집 일기 3,K282839036,9.79117E+12,77490,미래엔아이세움,"에그박사 지음, 홍종현 그림, 박송이 글, 이승현 감수","13,500","12,150","1,350",10%,670점,20221021,5144
294,국내도서,사물의 소멸,8934943688,9.78893E+12,3100,김영사,"한병철 지음, 전대호 옮김","15,800","14,220","1,580",10%,790점,20220905,8714
